Team _1,Team_2,Venue,Toss_Won,Elected,Winner,TOss1
Chennai Super Kings,Kolkata Night Riders,Dubai Sports(Dubai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,MA Chidambaram(Chennai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,MA Chidambaram(Chennai),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,MA Chidambaram(Chennai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,Eden(Kolkata),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,Eden(Kolkata),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,Eden(Kolkata),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Kolkata Night Riders,Heavy Engineering(Kolkata),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,MA Chidambaram(Chennai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,MA Chidambaram(Chennai),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,Dubai Sports(Dubai),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,Maharashtra(Pune),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,Wankhede(Mumbai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Sunrises Hyderabad,Wankhede(Mumbai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Centruion Park,1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Kingsmaid(Durban),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,PCA(Mohali),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Himachal Pradesh(Dharamsala),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Maharashtra(Pune),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Sheikh Zayed Stadium(Dubai),1,0,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,MA Chidambaram(Chennai),1,1,Chennai Super Kings,Chennai Super Kings
Chennai Super Kings,Punjab Kings,MA Chidambaram(Chennai),1,1,Chennai Super Kings,Chennai Super Kings
